,verb,count,presente yo,presente tú,"presente él, ella, Ud.",presente nosotros,presente vosotros,"presente ellos, ellas, Uds.",presente vos,imperfecto yo,imperfecto tú,"imperfecto él, ella, Ud.",imperfecto nosotros,imperfecto vosotros,"imperfecto ellos, ellas, Uds.",imperfecto vos,pretérito yo,pretérito tú,"pretérito él, ella, Ud.",pretérito nosotros,pretérito vosotros,"pretérito ellos, ellas, Uds.",pretérito vos,futuro yo,futuro tú,"futuro él, ella, Ud.",futuro nosotros,futuro vosotros,"futuro ellos, ellas, Uds.",futuro vos,condicional yo,condicional tú,"condicional él, ella, Ud.",condicional nosotros,condicional vosotros,"condicional ellos, ellas, Uds.",condicional vos,prob,en
709,formar,1672,formo,formas,forma,formamos,formáis,forman,formás,formaba,formabas,formaba,formábamos,formabais,formaban,formabas,formé,formaste,formó,formamos,formasteis,formaron,formaste,formaré,formarás,formará,formaremos,formaréis,formarán,formarás,formaría,formarías,formaría,formaríamos,formaríais,formarían,formarías,0.0004810732767822,form
710,acudir,1671,acudo,acudes,acude,acudimos,acudís,acuden,acudís,acudía,acudías,acudía,acudíamos,acudíais,acudían,acudías,acudí,acudiste,acudió,acudimos,acudisteis,acudieron,acudiste,acudiré,acudirás,acudirá,acudiremos,acudiréis,acudirán,acudirás,acudiría,acudirías,acudiría,acudiríamos,acudiríais,acudirían,acudirías,0.0004807855535306,Come on in.
711,bañar,1671,baño,bañas,baña,bañamos,bañáis,bañan,bañás,bañaba,bañabas,bañaba,bañábamos,bañabais,bañaban,bañabas,bañé,bañaste,bañó,bañamos,bañasteis,bañaron,bañaste,bañaré,bañarás,bañará,bañaremos,bañaréis,bañarán,bañarás,bañaría,bañarías,bañaría,bañaríamos,bañaríais,bañarían,bañarías,0.0004807855535306,bathing
712,rescatar,1668,rescato,rescatas,rescata,rescatamos,rescatáis,rescatan,rescatás,rescataba,rescatabas,rescataba,rescatábamos,rescatabais,rescataban,rescatabas,rescaté,rescataste,rescató,rescatamos,rescatasteis,rescataron,rescataste,rescataré,rescatarás,rescatará,rescataremos,rescataréis,rescatarán,rescatarás,rescataría,rescatarías,rescataría,rescataríamos,rescataríais,rescatarían,rescatarías,0.0004799223837756,rescue
713,emitir,1667,emito,emites,emite,emitimos,emitís,emiten,emitís,emitía,emitías,emitía,emitíamos,emitíais,emitían,emitías,emití,emitiste,emitió,emitimos,emitisteis,emitieron,emitiste,emitiré,emitirás,emitirá,emitiremos,emitiréis,emitirán,emitirás,emitiría,emitirías,emitiría,emitiríamos,emitiríais,emitirían,emitirías,0.0004796346605239,issue
714,contraer,1666,contraigo,contraes,contrae,contraemos,contraéis,contraen,contraés,contraía,contraías,contraía,contraíamos,contraíais,contraían,contraías,contraje,contrajiste,contrajo,contrajimos,contrajisteis,contrajeron,contrajiste,contraeré,contraerás,contraerá,contraeremos,contraeréis,contraerán,contraerás,contraería,contraerías,contraería,contraeríamos,contraeríais,contraerían,contraerías,0.0004793469372723,contract
715,engordar,1665,engordo,engordas,engorda,engordamos,engordáis,engordan,engordás,engordaba,engordabas,engordaba,engordábamos,engordabais,engordaban,engordabas,engordé,engordaste,engordó,engordamos,engordasteis,engordaron,engordaste,engordaré,engordarás,engordará,engordaremos,engordaréis,engordarán,engordarás,engordaría,engordarías,engordaría,engordaríamos,engordaríais,engordarían,engordarías,0.0004790592140206,Fattening
716,criticar,1664,critico,criticas,critica,criticamos,criticáis,critican,criticás,criticaba,criticabas,criticaba,criticábamos,criticabais,criticaban,criticabas,critiqué,criticaste,criticó,criticamos,criticasteis,criticaron,criticaste,criticaré,criticarás,criticará,criticaremos,criticaréis,criticarán,criticarás,criticaría,criticarías,criticaría,criticaríamos,criticaríais,criticarían,criticarías,0.0004787714907689,Criticism
717,abusar,1660,abuso,abusas,abusa,abusamos,abusáis,abusan,abusás,abusaba,abusabas,abusaba,abusábamos,abusabais,abusaban,abusabas,abusé,abusaste,abusó,abusamos,abusasteis,abusaron,abusaste,abusaré,abusarás,abusará,abusaremos,abusaréis,abusarán,abusarás,abusaría,abusarías,abusaría,abusaríamos,abusaríais,abusarían,abusarías,0.0004776205977623,abuse
718,descargar,1659,descargo,descargas,descarga,descargamos,descargáis,descargan,descargás,descargaba,descargabas,descargaba,descargábamos,descargabais,descargaban,descargabas,descargué,descargaste,descargó,descargamos,descargasteis,descargaron,descargaste,descargaré,descargarás,descargará,descargaremos,descargaréis,descargarán,descargarás,descargaría,descargarías,descargaría,descargaríamos,descargaríais,descargarían,descargarías,0.0004773328745106,download
719,tablear,1658,tableo,tableas,tablea,tableamos,tableáis,tablean,tableás,tableaba,tableabas,tableaba,tableábamos,tableabais,tableaban,tableabas,tableé,tableaste,tableó,tableamos,tableasteis,tablearon,tableaste,tablearé,tablearás,tableará,tablearemos,tablearéis,tablearán,tablearás,tablearía,tablearías,tablearía,tablearíamos,tablearíais,tablearían,tablearías,0.0004770451512589,tablear
720,gandulear,1657,ganduleo,ganduleas,gandulea,ganduleamos,ganduleáis,gandulean,ganduleás,ganduleaba,ganduleabas,ganduleaba,ganduleábamos,ganduleabais,ganduleaban,ganduleabas,ganduleé,ganduleaste,ganduleó,ganduleamos,ganduleasteis,gandulearon,ganduleaste,gandulearé,gandulearás,ganduleará,gandulearemos,gandulearéis,gandulearán,gandulearás,gandulearía,gandulearías,gandulearía,gandulearíamos,gandulearíais,gandulearían,gandulearías,0.0004767574280073,gandulate
721,destacar,1656,destaco,destacas,destaca,destacamos,destacáis,destacan,destacás,destacaba,destacabas,destacaba,destacábamos,destacabais,destacaban,destacabas,destaqué,destacaste,destacó,destacamos,destacasteis,destacaron,destacaste,destacaré,destacarás,destacará,destacaremos,destacaréis,destacarán,destacarás,destacaría,destacarías,destacaría,destacaríamos,destacaríais,destacarían,destacarías,0.0004764697047556,highlight
722,inventar,1652,invento,inventas,inventa,inventamos,inventáis,inventan,inventás,inventaba,inventabas,inventaba,inventábamos,inventabais,inventaban,inventabas,inventé,inventaste,inventó,inventamos,inventasteis,inventaron,inventaste,inventaré,inventarás,inventará,inventaremos,inventaréis,inventarán,inventarás,inventaría,inventarías,inventaría,inventaríamos,inventaríais,inventarían,inventarías,0.000475318811749,Invent
723,humillar,1652,humillo,humillas,humilla,humillamos,humilláis,humillan,humillás,humillaba,humillabas,humillaba,humillábamos,humillabais,humillaban,humillabas,humillé,humillaste,humilló,humillamos,humillasteis,humillaron,humillaste,humillaré,humillarás,humillará,humillaremos,humillaréis,humillarán,humillarás,humillaría,humillarías,humillaría,humillaríamos,humillaríais,humillarían,humillarías,0.000475318811749,Humiliate
724,admirar,1650,admiro,admiras,admira,admiramos,admiráis,admiran,admirás,admiraba,admirabas,admiraba,admirábamos,admirabais,admiraban,admirabas,admiré,admiraste,admiró,admiramos,admirasteis,admiraron,admiraste,admiraré,admirarás,admirará,admiraremos,admiraréis,admirarán,admirarás,admiraría,admirarías,admiraría,admiraríamos,admiraríais,admirarían,admirarías,0.0004747433652456,admiring
725,valsar,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004747433652456,valsar
726,encerrar,1649,encierro,encierras,encierra,encerramos,encerráis,encierran,encerrás,encerraba,encerrabas,encerraba,encerrábamos,encerrabais,encerraban,encerrabas,encerré,encerraste,encerró,encerramos,encerrasteis,encerraron,encerraste,encerraré,encerrarás,encerrará,encerraremos,encerraréis,encerrarán,encerrarás,encerraría,encerrarías,encerraría,encerraríamos,encerraríais,encerrarían,encerrarías,0.000474455641994,lock up.
727,salivar,1649,salivo,salivas,saliva,salivamos,saliváis,salivan,salivás,salivaba,salivabas,salivaba,salivábamos,salivabais,salivaban,salivabas,salivé,salivaste,salivó,salivamos,salivasteis,salivaron,salivaste,salivaré,salivarás,salivará,salivaremos,salivaréis,salivarán,salivarás,salivaría,salivarías,salivaría,salivaríamos,salivaríais,salivarían,salivarías,0.000474455641994,salivate
728,explotar,1647,exploto,explotas,explota,explotamos,explotáis,explotan,explotás,explotaba,explotabas,explotaba,explotábamos,explotabais,explotaban,explotabas,exploté,explotaste,explotó,explotamos,explotasteis,explotaron,explotaste,explotaré,explotarás,explotará,explotaremos,explotaréis,explotarán,explotarás,explotaría,explotarías,explotaría,explotaríamos,explotaríais,explotarían,explotarías,0.0004738801954906,explode
729,iniciar,1646,inicio,inicias,inicia,iniciamos,iniciáis,inician,iniciás,iniciaba,iniciabas,iniciaba,iniciábamos,iniciabais,iniciaban,iniciabas,inicié,iniciaste,inició,iniciamos,iniciasteis,iniciaron,iniciaste,iniciaré,iniciarás,iniciará,iniciaremos,iniciaréis,iniciarán,iniciarás,iniciaría,iniciarías,iniciaría,iniciaríamos,iniciaríais,iniciarían,iniciarías,0.000473592472239,start
730,solicitar,1643,solicito,solicitas,solicita,solicitamos,solicitáis,solicitan,solicitás,solicitaba,solicitabas,solicitaba,solicitábamos,solicitabais,solicitaban,solicitabas,solicité,solicitaste,solicitó,solicitamos,solicitasteis,solicitaron,solicitaste,solicitaré,solicitarás,solicitará,solicitaremos,solicitaréis,solicitarán,solicitarás,solicitaría,solicitarías,solicitaría,solicitaríamos,solicitaríais,solicitarían,solicitarías,0.000472729302484,request
731,considerar,1642,considero,consideras,considera,consideramos,consideráis,consideran,considerás,consideraba,considerabas,consideraba,considerábamos,considerabais,consideraban,considerabas,consideré,consideraste,consideró,consideramos,considerasteis,consideraron,consideraste,consideraré,considerarás,considerará,consideraremos,consideraréis,considerarán,considerarás,consideraría,considerarías,consideraría,consideraríamos,consideraríais,considerarían,considerarías,0.0004724415792323,consider
732,acariciar,1640,acaricio,acaricias,acaricia,acariciamos,acariciáis,acarician,acariciás,acariciaba,acariciabas,acariciaba,acariciábamos,acariciabais,acariciaban,acariciabas,acaricié,acariciaste,acarició,acariciamos,acariciasteis,acariciaron,acariciaste,acariciaré,acariciarás,acariciará,acariciaremos,acariciaréis,acariciarán,acariciarás,acariciaría,acariciarías,acariciaría,acariciaríamos,acariciaríais,acariciarían,acariciarías,0.000471866132729,caressing
733,aplazar,1638,aplazo,aplazas,aplaza,aplazamos,aplazáis,aplazan,aplazás,aplazaba,aplazabas,aplazaba,aplazábamos,aplazabais,aplazaban,aplazabas,aplacé,aplazaste,aplazó,aplazamos,aplazasteis,aplazaron,aplazaste,aplazaré,aplazarás,aplazará,aplazaremos,aplazaréis,aplazarán,aplazarás,aplazaría,aplazarías,aplazaría,aplazaríamos,aplazaríais,aplazarían,aplazarías,0.0004712906862257,defer
734,sostener,1633,sostengo,sostienes,sostiene,sostenemos,sostenéis,sostienen,sostenés,sostenía,sostenías,sostenía,sosteníamos,sosteníais,sostenían,sostenías,sostuve,sostuviste,sostuvo,sostuvimos,sostuvisteis,sostuvieron,sostuviste,sostendré,sostendrás,sostendrá,sostendremos,sostendréis,sostendrán,sostendrás,sostendría,sostendrías,sostendría,sostendríamos,sostendríais,sostendrían,sostendrías,0.0004698520699673,hold
735,contagiar,1633,contagio,contagias,contagia,contagiamos,contagiáis,contagian,contagiás,contagiaba,contagiabas,contagiaba,contagiábamos,contagiabais,contagiaban,contagiabas,contagié,contagiaste,contagió,contagiamos,contagiasteis,contagiaron,contagiaste,contagiaré,contagiarás,contagiará,contagiaremos,contagiaréis,contagiarán,contagiarás,contagiaría,contagiarías,contagiaría,contagiaríamos,contagiaríais,contagiarían,contagiarías,0.0004698520699673,Contagion
736,acoger,1631,acojo,acoges,acoge,acogemos,acogéis,acogen,acogés,acogía,acogías,acogía,acogíamos,acogíais,acogían,acogías,acogí,acogiste,acogió,acogimos,acogisteis,acogieron,acogiste,acogeré,acogerás,acogerá,acogeremos,acogeréis,acogerán,acogerás,acogería,acogerías,acogería,acogeríamos,acogeríais,acogerían,acogerías,0.000469276623464,host
737,intuir,1628,intuyo,intuyes,intuye,intuimos,intuís,intuyen,intuís,intuía,intuías,intuía,intuíamos,intuíais,intuían,intuías,intuí,intuiste,intuyó,intuimos,intuisteis,intuyeron,intuiste,intuiré,intuirás,intuirá,intuiremos,intuiréis,intuirán,intuirás,intuiría,intuirías,intuiría,intuiríamos,intuiríais,intuirían,intuirías,0.000468413453709,intuit
738,acentuar,1627,acentúo,acentúas,acentúa,acentuamos,acentuáis,acentúan,acentuás,acentuaba,acentuabas,acentuaba,acentuábamos,acentuabais,acentuaban,acentuabas,acentué,acentuaste,acentuó,acentuamos,acentuasteis,acentuaron,acentuaste,acentuaré,acentuarás,acentuará,acentuaremos,acentuaréis,acentuarán,acentuarás,acentuaría,acentuarías,acentuaría,acentuaríamos,acentuaríais,acentuarían,acentuarías,0.0004681257304574,accentuate
739,alimentar,1626,alimento,alimentas,alimenta,alimentamos,alimentáis,alimentan,alimentás,alimentaba,alimentabas,alimentaba,alimentábamos,alimentabais,alimentaban,alimentabas,alimenté,alimentaste,alimentó,alimentamos,alimentasteis,alimentaron,alimentaste,alimentaré,alimentarás,alimentará,alimentaremos,alimentaréis,alimentarán,alimentarás,alimentaría,alimentarías,alimentaría,alimentaríamos,alimentaríais,alimentarían,alimentarías,0.0004678380072057,feed
740,absolver,1622,absuelvo,absuelves,absuelve,absolvemos,absolvéis,absuelven,absolvés,absolvía,absolvías,absolvía,absolvíamos,absolvíais,absolvían,absolvías,absolví,absolviste,absolvió,absolvimos,absolvisteis,absolvieron,absolviste,absolveré,absolverás,absolverá,absolveremos,absolveréis,absolverán,absolverás,absolvería,absolverías,absolvería,absolveríamos,absolveríais,absolverían,absolverías,0.000466687114199,absolve
741,adorar,1622,adoro,adoras,adora,adoramos,adoráis,adoran,adorás,adoraba,adorabas,adoraba,adorábamos,adorabais,adoraban,adorabas,adoré,adoraste,adoró,adoramos,adorasteis,adoraron,adoraste,adoraré,adorarás,adorará,adoraremos,adoraréis,adorarán,adorarás,adoraría,adorarías,adoraría,adoraríamos,adoraríais,adorarían,adorarías,0.000466687114199,worship
742,tostar,1622,tuesto,tuestas,tuesta,tostamos,tostáis,tuestan,tostás,tostaba,tostabas,tostaba,tostábamos,tostabais,tostaban,tostabas,tosté,tostaste,tostó,tostamos,tostasteis,tostaron,tostaste,tostaré,tostarás,tostará,tostaremos,tostaréis,tostarán,tostarás,tostaría,tostarías,tostaría,tostaríamos,tostaríais,tostarían,tostarías,0.000466687114199,tostar
743,agotar,1617,agoto,agotas,agota,agotamos,agotáis,agotan,agotás,agotaba,agotabas,agotaba,agotábamos,agotabais,agotaban,agotabas,agoté,agotaste,agotó,agotamos,agotasteis,agotaron,agotaste,agotaré,agotarás,agotará,agotaremos,agotaréis,agotarán,agotarás,agotaría,agotarías,agotaría,agotaríamos,agotaríais,agotarían,agotarías,0.0004652484979407,exhaust
744,malinformar,1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004652484979407,misreport
745,acostumbrar,1616,acostumbro,acostumbras,acostumbra,acostumbramos,acostumbráis,acostumbran,acostumbrás,acostumbraba,acostumbrabas,acostumbraba,acostumbrábamos,acostumbrabais,acostumbraban,acostumbrabas,acostumbré,acostumbraste,acostumbró,acostumbramos,acostumbrasteis,acostumbraron,acostumbraste,acostumbraré,acostumbrarás,acostumbrará,acostumbraremos,acostumbraréis,acostumbrarán,acostumbrarás,acostumbraría,acostumbrarías,acostumbraría,acostumbraríamos,acostumbraríais,acostumbrarían,acostumbrarías,0.0004649607746891,Get used to it.
746,aguantar,1614,aguanto,aguantas,aguanta,aguantamos,aguantáis,aguantan,aguantás,aguantaba,aguantabas,aguantaba,aguantábamos,aguantabais,aguantaban,aguantabas,aguanté,aguantaste,aguantó,aguantamos,aguantasteis,aguantaron,aguantaste,aguantaré,aguantarás,aguantará,aguantaremos,aguantaréis,aguantarán,aguantarás,aguantaría,aguantarías,aguantaría,aguantaríamos,aguantaríais,aguantarían,aguantarías,0.0004643853281857,Hold on.
747,prevaler,1612,prevalgo,prevales,prevale,prevalemos,prevaléis,prevalen,prevalés,prevalía,prevalías,prevalía,prevalíamos,prevalíais,prevalían,prevalías,prevalí,prevaliste,prevalió,prevalimos,prevalisteis,prevalieron,prevaliste,prevaldré,prevaldrás,prevaldrá,prevaldremos,prevaldréis,prevaldrán,prevaldrás,prevaldría,prevaldrías,prevaldría,prevaldríamos,prevaldríais,prevaldrían,prevaldrías,0.0004638098816824,prevail
748,contactar,1612,contacto,contactas,contacta,contactamos,contactáis,contactan,contactás,contactaba,contactabas,contactaba,contactábamos,contactabais,contactaban,contactabas,contacté,contactaste,contactó,contactamos,contactasteis,contactaron,contactaste,contactaré,contactarás,contactará,contactaremos,contactaréis,contactarán,contactarás,contactaría,contactarías,contactaría,contactaríamos,contactaríais,contactarían,contactarías,0.0004638098816824,contact
749,adivinar,1611,adivino,adivinas,adivina,adivinamos,adivináis,adivinan,adivinás,adivinaba,adivinabas,adivinaba,adivinábamos,adivinabais,adivinaban,adivinabas,adiviné,adivinaste,adivinó,adivinamos,adivinasteis,adivinaron,adivinaste,adivinaré,adivinarás,adivinará,adivinaremos,adivinaréis,adivinarán,adivinarás,adivinaría,adivinarías,adivinaría,adivinaríamos,adivinaríais,adivinarían,adivinarías,0.0004635221584307,guess
750,atribuir,1611,atribuyo,atribuyes,atribuye,atribuimos,atribuís,atribuyen,atribuís,atribuía,atribuías,atribuía,atribuíamos,atribuíais,atribuían,atribuías,atribuí,atribuiste,atribuyó,atribuimos,atribuisteis,atribuyeron,atribuiste,atribuiré,atribuirás,atribuirá,atribuiremos,atribuiréis,atribuirán,atribuirás,atribuiría,atribuirías,atribuiría,atribuiríamos,atribuiríais,atribuirían,atribuirías,0.0004635221584307,attribute
751,animar,1608,animo,animas,anima,animamos,animáis,animan,animás,animaba,animabas,animaba,animábamos,animabais,animaban,animabas,animé,animaste,animó,animamos,animasteis,animaron,animaste,animaré,animarás,animará,animaremos,animaréis,animarán,animarás,animaría,animarías,animaría,animaríamos,animaríais,animarían,animarías,0.0004626589886757,Cheer up.
752,contaminar,1608,contamino,contaminas,contamina,contaminamos,contamináis,contaminan,contaminás,contaminaba,contaminabas,contaminaba,contaminábamos,contaminabais,contaminaban,contaminabas,contaminé,contaminaste,contaminó,contaminamos,contaminasteis,contaminaron,contaminaste,contaminaré,contaminarás,contaminará,contaminaremos,contaminaréis,contaminarán,contaminarás,contaminaría,contaminarías,contaminaría,contaminaríamos,contaminaríais,contaminarían,contaminarías,0.0004626589886757,contaminating
753,inscribir,1603,inscribo,inscribes,inscribe,inscribimos,inscribís,inscriben,inscribís,inscribía,inscribías,inscribía,inscribíamos,inscribíais,inscribían,inscribías,inscribí,inscribiste,inscribió,inscribimos,inscribisteis,inscribieron,inscribiste,inscribiré,inscribirás,inscribirá,inscribiremos,inscribiréis,inscribirán,inscribirás,inscribiría,inscribirías,inscribiría,inscribiríamos,inscribiríais,inscribirían,inscribirías,0.0004612203724174,Enrollment
754,mascar,1603,masco,mascas,masca,mascamos,mascáis,mascan,mascás,mascaba,mascabas,mascaba,mascábamos,mascabais,mascaban,mascabas,masqué,mascaste,mascó,mascamos,mascasteis,mascaron,mascaste,mascaré,mascarás,mascará,mascaremos,mascaréis,mascarán,mascarás,mascaría,mascarías,mascaría,mascaríamos,mascaríais,mascarían,mascarías,0.0004612203724174,chew
755,mentar,1603,miento,mientas,mienta,mentamos,mentáis,mientan,mentás,mentaba,mentabas,mentaba,mentábamos,mentabais,mentaban,mentabas,menté,mentaste,mentó,mentamos,mentasteis,mentaron,mentaste,mentaré,mentarás,mentará,mentaremos,mentaréis,mentarán,mentarás,mentaría,mentarías,mentaría,mentaríamos,mentaríais,mentarían,mentarías,0.0004612203724174,menar
756,colaborar,1603,colaboro,colaboras,colabora,colaboramos,colaboráis,colaboran,colaborás,colaboraba,colaborabas,colaboraba,colaborábamos,colaborabais,colaboraban,colaborabas,colaboré,colaboraste,colaboró,colaboramos,colaborasteis,colaboraron,colaboraste,colaboraré,colaborarás,colaborará,colaboraremos,colaboraréis,colaborarán,colaborarás,colaboraría,colaborarías,colaboraría,colaboraríamos,colaboraríais,colaborarían,colaborarías,0.0004612203724174,collaborate
757,divorciar,1601,divorcio,divorcias,divorcia,divorciamos,divorciáis,divorcian,divorciás,divorciaba,divorciabas,divorciaba,divorciábamos,divorciabais,divorciaban,divorciabas,divorcié,divorciaste,divorció,divorciamos,divorciasteis,divorciaron,divorciaste,divorciaré,divorciarás,divorciará,divorciaremos,divorciaréis,divorciarán,divorciarás,divorciaría,divorciarías,divorciaría,divorciaríamos,divorciaríais,divorciarían,divorciarías,0.0004606449259141,divorce
758,agitar,1600,agito,agitas,agita,agitamos,agitáis,agitan,agitás,agitaba,agitabas,agitaba,agitábamos,agitabais,agitaban,agitabas,agité,agitaste,agitó,agitamos,agitasteis,agitaron,agitaste,agitaré,agitarás,agitará,agitaremos,agitaréis,agitarán,agitarás,agitaría,agitarías,agitaría,agitaríamos,agitaríais,agitarían,agitarías,0.0004603572026624,shake
759,retirar,1600,retiro,retiras,retira,retiramos,retiráis,retiran,retirás,retiraba,retirabas,retiraba,retirábamos,retirabais,retiraban,retirabas,retiré,retiraste,retiró,retiramos,retirasteis,retiraron,retiraste,retiraré,retirarás,retirará,retiraremos,retiraréis,retirarán,retirarás,retiraría,retirarías,retiraría,retiraríamos,retiraríais,retirarían,retirarías,0.0004603572026624,withdraw
760,resfriar,1599,resfrío,resfrías,resfría,resfriamos,resfriáis,resfrían,resfriás,resfriaba,resfriabas,resfriaba,resfriábamos,resfriabais,resfriaban,resfriabas,resfrié,resfriaste,resfrió,resfriamos,resfriasteis,resfriaron,resfriaste,resfriaré,resfriarás,resfriará,resfriaremos,resfriaréis,resfriarán,resfriarás,resfriaría,resfriarías,resfriaría,resfriaríamos,resfriaríais,resfriarían,resfriarías,0.0004600694794108,cold
761,prever,1595,preveo,prevés,prevé,prevemos,prevéis,prevén,prevés,preveía,preveías,preveía,preveíamos,preveíais,preveían,preveías,preví,previste,previó,previmos,previsteis,previeron,previste,preveré,preverás,preverá,preveremos,preveréis,preverán,preverás,prevería,preverías,prevería,preveríamos,preveríais,preverían,preverías,0.0004589185864041,provide
762,asir,1591,asgo,ases,ase,asimos,asís,asen,asís,asía,asías,asía,asíamos,asíais,asían,asías,así,asiste,asió,asimos,asisteis,asieron,asiste,asiré,asirás,asirá,asiremos,asiréis,asirán,asirás,asiría,asirías,asiría,asiríamos,asiríais,asirían,asirías,0.0004577676933974,asir
763,apellidar,1591,apellido,apellidas,apellida,apellidamos,apellidáis,apellidan,apellidás,apellidaba,apellidabas,apellidaba,apellidábamos,apellidabais,apellidaban,apellidabas,apellidé,apellidaste,apellidó,apellidamos,apellidasteis,apellidaron,apellidaste,apellidaré,apellidarás,apellidará,apellidaremos,apellidaréis,apellidarán,apellidarás,apellidaría,apellidarías,apellidaría,apellidaríamos,apellidaríais,apellidarían,apellidarías,0.0004577676933974,last name
764,broncear,1589,bronceo,bronceas,broncea,bronceamos,bronceáis,broncean,bronceás,bronceaba,bronceabas,bronceaba,bronceábamos,bronceabais,bronceaban,bronceabas,bronceé,bronceaste,bronceó,bronceamos,bronceasteis,broncearon,bronceaste,broncearé,broncearás,bronceará,broncearemos,broncearéis,broncearán,broncearás,broncearía,broncearías,broncearía,broncearíamos,broncearíais,broncearían,broncearías,0.0004571922468941,tanning
765,derretir,1588,derrito,derrites,derrite,derretimos,derretís,derriten,derretís,derretía,derretías,derretía,derretíamos,derretíais,derretían,derretías,derretí,derretiste,derritió,derretimos,derretisteis,derritieron,derretiste,derretiré,derretirás,derretirá,derretiremos,derretiréis,derretirán,derretirás,derretiría,derretirías,derretiría,derretiríamos,derretiríais,derretirían,derretirías,0.0004569045236425,melt
766,repartir,1580,reparto,repartes,reparte,repartimos,repartís,reparten,repartís,repartía,repartías,repartía,repartíamos,repartíais,repartían,repartías,repartí,repartiste,repartió,repartimos,repartisteis,repartieron,repartiste,repartiré,repartirás,repartirá,repartiremos,repartiréis,repartirán,repartirás,repartiría,repartirías,repartiría,repartiríamos,repartiríais,repartirían,repartirías,0.0004546027376291,divide
767,disponer,1577,dispongo,dispones,dispone,disponemos,disponéis,disponen,disponés,disponía,disponías,disponía,disponíamos,disponíais,disponían,disponías,dispuse,dispusiste,dispuso,dispusimos,dispusisteis,dispusieron,dispusiste,dispondré,dispondrás,dispondrá,dispondremos,dispondréis,dispondrán,dispondrás,dispondría,dispondrías,dispondría,dispondríamos,dispondríais,dispondrían,dispondrías,0.0004537395678742,arrange
768,dimitir,1577,dimito,dimites,dimite,dimitimos,dimitís,dimiten,dimitís,dimitía,dimitías,dimitía,dimitíamos,dimitíais,dimitían,dimitías,dimití,dimitiste,dimitió,dimitimos,dimitisteis,dimitieron,dimitiste,dimitiré,dimitirás,dimitirá,dimitiremos,dimitiréis,dimitirán,dimitirás,dimitiría,dimitirías,dimitiría,dimitiríamos,dimitiríais,dimitirían,dimitirías,0.0004537395678742,resign
769,abrasar,1575,abraso,abrasas,abrasa,abrasamos,abrasáis,abrasan,abrasás,abrasaba,abrasabas,abrasaba,abrasábamos,abrasabais,abrasaban,abrasabas,abrasé,abrasaste,abrasó,abrasamos,abrasasteis,abrasaron,abrasaste,abrasaré,abrasarás,abrasará,abrasaremos,abrasaréis,abrasarán,abrasarás,abrasaría,abrasarías,abrasaría,abrasaríamos,abrasaríais,abrasarían,abrasarías,0.0004531641213708,burning
770,regatear,1575,regateo,regateas,regatea,regateamos,regateáis,regatean,regateás,regateaba,regateabas,regateaba,regateábamos,regateabais,regateaban,regateabas,regateé,regateaste,regateó,regateamos,regateasteis,regatearon,regateaste,regatearé,regatearás,regateará,regatearemos,regatearéis,regatearán,regatearás,regatearía,regatearías,regatearía,regatearíamos,regatearíais,regatearían,regatearías,0.0004531641213708,haggling
771,citar,1574,cito,citas,cita,citamos,citáis,citan,citás,citaba,citabas,citaba,citábamos,citabais,citaban,citabas,cité,citaste,citó,citamos,citasteis,citaron,citaste,citaré,citarás,citará,citaremos,citaréis,citarán,citarás,citaría,citarías,citaría,citaríamos,citaríais,citarían,citarías,0.0004528763981192,quote
772,averiar,1573,averío,averías,avería,averiamos,averiáis,averían,averiás,averiaba,averiabas,averiaba,averiábamos,averiabais,averiaban,averiabas,averié,averiaste,averió,averiamos,averiasteis,averiaron,averiaste,averiaré,averiarás,averiará,averiaremos,averiaréis,averiarán,averiarás,averiaría,averiarías,averiaría,averiaríamos,averiaríais,averiarían,averiarías,0.0004525886748675,break down
773,autorizar,1572,autorizo,autorizas,autoriza,autorizamos,autorizáis,autorizan,autorizás,autorizaba,autorizabas,autorizaba,autorizábamos,autorizabais,autorizaban,autorizabas,autoricé,autorizaste,autorizó,autorizamos,autorizasteis,autorizaron,autorizaste,autorizaré,autorizarás,autorizará,autorizaremos,autorizaréis,autorizarán,autorizarás,autorizaría,autorizarías,autorizaría,autorizaríamos,autorizaríais,autorizarían,autorizarías,0.0004523009516158,authorising
774,derramar,1572,derramo,derramas,derrama,derramamos,derramáis,derraman,derramás,derramaba,derramabas,derramaba,derramábamos,derramabais,derramaban,derramabas,derramé,derramaste,derramó,derramamos,derramasteis,derramaron,derramaste,derramaré,derramarás,derramará,derramaremos,derramaréis,derramarán,derramarás,derramaría,derramarías,derramaría,derramaríamos,derramaríais,derramarían,derramarías,0.0004523009516158,spill
775,abrochar,1571,abrocho,abrochas,abrocha,abrochamos,abrocháis,abrochan,abrochás,abrochaba,abrochabas,abrochaba,abrochábamos,abrochabais,abrochaban,abrochabas,abroché,abrochaste,abrochó,abrochamos,abrochasteis,abrocharon,abrochaste,abrocharé,abrocharás,abrochará,abrocharemos,abrocharéis,abrocharán,abrocharás,abrocharía,abrocharías,abrocharía,abrocharíamos,abrocharíais,abrocharían,abrocharías,0.0004520132283642,fasten
